OBJECTID,NAME,WARD,LENGTH_IN_METRES,NEW_UPGRADE,TYPE,USERS,GRADE,DEG_DIFF_RATING,GEN_DESC,PARKING_ACCESS,LINKS,SPEC_CONSID,CLASS_EA,CURB_SHOULDER,FACILITY_STYLE,TRAFFIC_CONTROL
2030,,3,66.658,,Low Auto Volume Sugg,,,,,,,,,,,
2031,,3,69.19,,Low Auto Volume Sugg,,,,,,,,,,,
2032,,3,129.93,,Low Auto Volume Sugg,,,,,,,,,,,
2033,MAPLEWOOD,3,74.364,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
2034,MAPLEWOOD,3,56.612,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
2035,Weirs Ln,13,551.404,,Medium Auto Volume S,,,,,,,,,,,
2036,Sulphur Springs Rd,12,100.844,,Medium Auto Volume S,,,,,,,,,,,
2037,Concession St,7,135.992,,High Auto Volume Sig,,,,,,,Greenway,,,,
2038,,7,121.489,,Signed Bike Route,,,,,,,,,,,
2039,Old Mohawk,14,554.577,,Signed Bike Route,,,,,,,,,,,
2040,Garth,8,140.123,,Bicycle Lane,,,,,,,,,,,
2041,Garth,8,90.424,,Bicycle Lane,,,,,,,,,,,
2042,Garth,8,203.485,,Bicycle Lane,,,,,,,,,,,
2043,Carla Av,10,91.15,,Low Auto Volume Sugg,,,,,,,,,,,
2044,Carla Av,10,97.47,,Low Auto Volume Sugg,,,,,,,,,,,
2045,Gateshead Cr,10,251.722,,Low Auto Volume Sugg,,,,,,,,,,,
2046,Carla Av,10,112.922,,Low Auto Volume Sugg,,,,,,,,,,,
2047,Breadalbane St,1,59.804,,Signed Bike Route,,,,,,,,,,,
2048,Arkledun Av,2,286.225,,Bicycle Lane,,,,,,,Greenway,,,,
2049,Arkledun Av,3,211.593,,Bicycle Lane,,,,,,,Greenway,,,,
2050,Jolley Cut,3,263.805,,Bicycle Lane,,,,,,,,,,,
2051,Breadalbane St,1,35.237,,Signed Bike Route,,,,,,,,,,,
2052,Hunt St,1,142.006,,Signed Bike Route,,,,,,,,,,,
2053,Head St,1,227.918,,Signed Bike Route,,,,,,,,,,,
2054,Bay,2,105.412,,Bicycle Lane,,,,,,,Greenway,,,,
2055,Bay,2,102.982,,Bicycle Lane,,,,,,,Greenway,,,,
